46 53221
37 34 -1.252762968495368
37 32 -1.945910149055313
37 39 -1.945910149055313
37 37 -1.945910149055313
37 36 -1.945910149055313
37 30 -1.945910149055313
38 34 -1.791759469228055
38 35 -2.484906649788000
38 36 -2.484906649788000
38 33 -1.386294361119891
38 0 -1.098612288668110
38 38 -2.484906649788000
39 0 -0.538996500732687
39 36 -1.791759469228055
39 40 -2.484906649788000
39 34 -2.484906649788000
39 41 -2.484906649788000
40 33 -1.871802176901591
40 41 -1.871802176901591
40 34 -1.466337068793427
40 31 -2.564949357461537
40 0 -1.466337068793427
40 36 -1.871802176901591
41 0 -0.470003629245736
41 35 -2.079441541679836
41 36 -2.079441541679836
41 38 -2.772588722239781
41 34 -2.772588722239781
42 14 -0.693147180559945
42 0 -0.693147180559945
43 0 0.000000000000000
44 0 0.000000000000000
45 14 0.000000000000000
-1
